1,5,10
1,5,12
1,5,15
1,5,16
1,5,18
1,5,20
1,5,24
1,5,30
1,5,32
1,5,36
1,5,40
1,5,45
1,5,48
1,5,60
1,5,72
1,5,80
1,5,90
1,5,96
1,5,120
1,5,144
1,5,160
1,5,180
1,5,240
1,6,10
1,6,12
1,6,15
1,6,16
1,6,18
1,6,20
1,6,24
1,6,30
1,6,32
1,6,36
1,6,40
1,6,45
1,6,48
1,6,60
1,6,72
1,6,80
1,6,90
1,6,96
1,6,120
1,6,144
1,6,160
1,6,180
1,6,240
1,8,10
1,8,12
1,8,15
1,8,16
1,8,18
1,8,20
1,8,24
1,8,30
1,8,32
1,8,36
1,8,40
1,8,45
1,8,48
1,8,60
1,8,72
1,8,80
1,8,90
1,8,96
1,8,120
1,8,144
1,8,160
1,8,180
1,8,240
1,9,10
1,9,12
1,9,15
1,9,16
1,9,18
1,9,20
1,9,24
1,9,30
1,9,32
1,9,36
1,9,40
1,9,45
1,9,48
1,9,60
1,9,72
1,9,80
1,9,90
1,9,96
1,9,120
1,9,144
1,9,160
1,9,180
1,9,240
1,10,12
1,10,15
1,10,16
1,10,18
1,10,20
1,10,24
1,10,30
1,10,32
1,10,36
1,10,40
1,10,45
1,10,48
1,10,60
1,10,72
1,10,80
1,10,90
1,10,96
1,10,120
1,10,144
1,10,160
1,10,180
1,10,240
1,12,15
1,12,16
1,12,18
1,12,20
1,12,24
1,12,30
1,12,32
1,12,36
1,12,40
1,12,45
1,12,48
1,12,60
1,12,72
1,12,80
1,12,90
1,12,96
1,12,120
1,12,144
1,12,160
1,12,180
1,12,240
1,15,16
1,15,18
1,15,20
1,15,24
1,15,30
1,15,32
1,15,36
1,15,40
1,15,45
1,15,48
1,15,60
1,15,72
1,15,80
1,15,90
1,15,96
1,15,120
1,15,144
1,15,160
1,15,180
1,15,240
1,16,18
1,16,20
1,16,24
1,16,30
1,16,32
1,16,36
1,16,40
1,16,45
1,16,48
1,16,60
1,16,72
1,16,80
1,16,90
1,16,96
1,16,120
1,16,144
1,16,160
1,16,180
1,16,240
1,18,20
1,18,24
1,18,30
1,18,32
1,18,36
1,18,40
1,18,45
1,18,48
1,18,60
1,18,72
1,18,80
1,18,90
1,18,96
1,18,120
1,18,144
1,18,160
1,18,180
1,18,240
1,20,24
1,20,30
1,20,32
1,20,36
1,20,40
1,20,45
1,20,48
1,20,60
1,20,72
1,20,80
1,20,90
1,20,96
1,20,120
1,20,144
1,20,160
1,20,180
1,20,240
1,24,30
1,24,32
1,24,36
1,24,40
1,24,45
1,24,48
1,24,60
1,24,72
1,24,80
1,24,90
1,24,96
1,24,120
1,24,144
1,24,160
1,24,180
1,24,240
1,30,32
1,30,36
1,30,40
1,30,45
1,30,48
1,30,60
1,30,72
1,30,80
1,30,90
1,30,96
1,30,120
1,30,144
1,30,160
1,30,180
1,30,240
1,32,36
1,32,40
1,32,45
1,32,48
1,32,60
1,32,72
1,32,80
1,32,90
1,32,96
1,32,120
1,32,144
1,32,160
1,32,180
1,32,240
1,36,40
1,36,45
1,36,48
1,36,60
1,36,72
1,36,80
1,36,90
1,36,96
1,36,120
1,36,144
1,36,160
1,36,180
1,36,240
1,40,45
1,40,48
1,40,60
1,40,72
1,40,80
1,40,90
1,40,96
1,40,120
1,40,144
1,40,160
1,40,180
1,40,240
1,45,48
1,45,60
1,45,72
1,45,80
1,45,90
1,45,96
1,45,120
1,45,144
1,45,160
1,45,180
1,45,240
1,48,60
1,48,72
1,48,80
1,48,90
1,48,96
1,48,120
1,48,144
1,48,160
1,48,180
1,48,240
1,60,72
1,60,80
1,60,90
1,60,96
1,60,120
1,60,144
1,60,160
1,60,180
1,60,240
1,72,80
1,72,90
1,72,96
1,72,120
1,72,144
1,72,160
1,72,180
1,72,240
1,80,90
1,80,96
1,80,120
1,80,144
1,80,160
1,80,180
1,80,240
1,90,96
1,90,120
1,90,144
1,90,160
1,90,180
1,90,240
1,96,120
1,96,144
1,96,160
1,96,180
1,96,240
1,120,144
1,120,160
1,120,180
1,120,240
2,5,10
2,5,12
2,5,15
2,5,16
2,5,18
2,5,20
2,5,24
2,5,30
2,5,32
2,5,36
2,5,40
2,5,45
2,5,48
2,5,60
2,5,72
2,5,80
2,5,90
2,5,96
2,5,120
2,5,144
2,5,160
2,5,180
2,5,240
2,6,10
2,6,12
2,6,15
2,6,16
2,6,18
2,6,20
2,6,24
2,6,30
2,6,32
2,6,36
2,6,40
2,6,45
2,6,48
2,6,60
2,6,72
2,6,80
2,6,90
2,6,96
2,6,120
2,6,144
2,6,160
2,6,180
2,6,240
2,8,10
2,8,12
2,8,15
2,8,16
2,8,18
2,8,20
2,8,24
2,8,30
2,8,32
2,8,36
2,8,40
2,8,45
2,8,48
2,8,60
2,8,72
2,8,80
2,8,90
2,8,96
2,8,120
2,8,144
2,8,160
2,8,180
2,8,240
2,9,10
2,9,12
2,9,15
2,9,16
2,9,18
2,9,20
2,9,24
2,9,30
2,9,32
2,9,36
2,9,40
2,9,45
2,9,48
2,9,60
2,9,72
2,9,80
2,9,90
2,9,96
2,9,120
2,9,144
2,9,160
2,9,180
2,9,240
2,10,12
2,10,15
2,10,16
2,10,18
2,10,20
2,10,24
2,10,30
2,10,32
2,10,36
2,10,40
2,10,45
2,10,48
2,10,60
2,10,72
2,10,80
2,10,90
2,10,96
2,10,120
2,10,144
2,10,160
2,10,180
2,10,240
2,12,15
2,12,16
2,12,18
